Voter Address,Voting Power,Choice,Total Votes
0x35A5cD1F50Fec2d6dDf57bd58c6790c995bE5B9E,100000,"[1, 2, 3]",1001
0xa2F82e0FCA70e24ca98aC7812CdBb1D660A70C1F,20000,"[1, 3, 2]",1001
0x0eEa6283f392EBaA440747a958314F62854b9c54,120000,"[1, 3, 2]",1001
0x381351f693Da46e3800897950720C0aC6B89C78A,4000,"[1, 2, 3]",1001
0x29211f9b98b0AB9Ce4dB642ee4E90cec05d95A7a,4000,"[1, 2, 3]",1001
0x3873F5e82ee3A84284ac6b95b2E3d2D43945aE1A,20000,"[1, 2, 3]",1001
0x5d4f320Ce7Cdc29d68843caFdB16140686a27320,4000,"[1, 2, 3]",1001
0x7142303E564c0a0c466B51495f12d10c2DBc8B99,20000,"[1, 2, 3]",1001
0xdb24C5b3D5e29Cf6e9d623607d0bd1dC1CD15238,4000,"[1, 3, 2]",1001
0x28462AC6B9D85d675C7e88252742BbD794720799,4000,"[1, 3, 2]",1001
0x3085255A678Ab8Ffa73f2a279EeA547E1b684fAd,20000,"[1, 3, 2]",1001
0x4A34CC34Fa9D6051B008fAE665cD67669188dC35,20000,"[1, 3, 2]",1001
0x5c2B50161378A460B246a71e9dE1BE20cb1491b9,4000,"[1, 3, 2]",1001
0x227ba5CEcD72C261c297015C1114E050B6e50F5F,20000,"[1, 2, 3]",1001
0x14c99531C09d72bEE19e762956f577E95ffef918,4000,"[1, 2, 3]",1001
0x1AbEf1717803CE81190aFA035a27Bc67F6Df395F,4000,"[1, 2, 3]",1001
0x69eE3E2d622c8371bF736F76412eE251a1cF6739,20000,"[1, 2, 3]",1001
0x168A9E6D755b79f72215D035a2773b2Ca7EC4daF,4000,"[1, 2, 3]",1001
0x8728C811F93Eb6AC47D375E6a62dF552d62ed284,100000,"[1, 2, 3]",1001
0x93868853553861406fb76B1A1888bEC08C65EF2f,20000,"[1, 2, 3]",1001
0xf7590e910E441919097d66104A2c8Ef33A8B9A2d,20000,"[1, 2, 3]",1001
0x6344634CDAafE4eA5c1087B7ABaBeF025734ABaA,4000,"[1, 2, 3]",1001
0xbf2D8793175228c7632E2dBDA3D7970CaE38157a,4000,"[1, 2, 3]",1001
0x9Fb7563A1969f034e8FeB83e499C967D31538E86,100000,"[1, 2, 3]",1001
0x0c75B628437079281d17Cc1058Eaf198D20A58E4,4000,"[1, 2, 3]",1001
0xB7550aB35a54812ACc1a7e970230Cbb5BbF4a89B,4000,"[1, 2, 3]",1001
0xb9012C52F12d943E2fE122a662367a86dddDc97F,4000,"[1, 2, 3]",1001
0x109720A88EBE0f1452c94dC3a7146EbD9E5306fd,4000,"[1, 2, 3]",1001
0x17dAb33EB5518a7cE98D5AFE8637157003ECB05A,4000,"[1, 2, 3]",1001
0xFB75225430204aD36bDa5734D7620845C7490A37,4000,"[1, 2, 3]",1001
0xFEC436Ee6D59CcBd59004665Ec28332BF33db1d5,4000,"[1, 2, 3]",1001
0xA1a485AE7C3d6a3C1990cC9d2F053977662b576B,4000,"[1, 2, 3]",1001
0x7f45A8eebdCc5c89f00bCc4E64D00174EE9FAdb9,4000,"[1, 2, 3]",1001
0x56Cb75b092b1866ffE4531151Da6e233ae5811E2,20000,"[1, 2, 3]",1001
0x737861D5363F9C01833C3462533d8b4a3901604F,20000,"[1, 2, 3]",1001
0x3D8B7cd62FfC8c7DB8F0bbabCe1f562C16D663ca,20000,"[1, 2, 3]",1001
0xFbA0CBeC4286801662d35294E9eeEd59b44D6EaB,20000,"[1, 2, 3]",1001
0x063B9048Ce041E2ec4a55CC059bE62d28E2Cf9f5,20000,"[1, 2, 3]",1001
0xeB3754FA954aCF7de2bC7D21ad3A9332cD76A4b7,20000,"[1, 2, 3]",1001
0x0942beC6bB968339f0f7A3989d1B92CF120f8413,20000,"[1, 2, 3]",1001
0x6bDE88aCB8270e94C8F299d15F41C1AE2c5f6a10,120000,"[1, 2, 3]",1001
0x052f4734f6A9490eAebac1a446EDBe7337FB3AaA,120000,"[1, 2, 3]",1001
0x0C59E6a85993D31A4e16dEc6A632021853b3f2da,120000,"[1, 2, 3]",1001
0xA2B52E6BbF02341a7FA80D7f3099411ab3Be977E,120000,"[1, 2, 3]",1001
0xf05B99836713084332ac65B035fc381478F55651,20000,"[1, 2, 3]",1001
0xf8a6A82D17b54eab7De4273c5E7644E27ced3A09,20000,"[1, 2, 3]",1001
0xE95deD321146B50B474ca4BA494793ba0972400f,20000,"[1, 2, 3]",1001
0x2790f55b9D7F32DE695805E40c9B550881aC8966,20000,"[1, 2, 3]",1001
0xa30420a8927ae33A273c9c7447DDD3BDd74CcD43,20000,"[1, 2, 3]",1001
0x28AF94f79e177A6FD73c1D0c98b08816F96004A1,20000,"[1, 2, 3]",1001
